Name	Art	Breitengrad	Längengrad	Strasse	Hausnummer	Plz	Ort	Rollstuhlgerecht	mobidat-ID	Deeplink
"	Berliner Rathaus (Berlin)"	Haltestelle	52.51744057830046	13.40864137057542	Spandauer Straße		10178	Mitte	ja	108482	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/108482/
"	Pfefferwerk Stadtkultur gGmbH - Kita Sauseschritt"	Kindertagesstätten	52.5920500	13.4044800	Dietzgenstraße	104	13158	Pankow	teilweise	80577	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/80577/
"	Presseshop in Berlin-Buch, Bruno-Apitz-Straße"	Zeitungen, Zeitschriften, Tabakwaren	52.6274100	13.4947400	Bruno-Apitz-Straße	14	13125	Pankow	ja	92354	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/92354/
"	Stephanus-Stiftung Wohngemeinschaft Blechenstraße"	Betreutes Wohnen	52.5557003	13.4579000	Blechenstraße	6	13086	Pankow	ja	93458	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/93458/
Änderungsschneiderei A. Gencay	Schneiderei	52.4885226	13.3582852	Hauptstraße	11	10827	Tempelhof - Schöneberg	ja	78183	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/78183/
Ärztehaus  Hufeland	Ärztehäuser	52.5551100	13.5613800	Mehrower Allee	22	12687	Marzahn - Hellersdorf	teilweise	81729	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/81729/
Chirurgische Kleintierpraxis Dr. Martin Köhle	Tiermedizin	52.5329500	13.1878700	Grünhofer Weg	16	13581	Spandau	teilweise	9938	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/9938/
Cramer Lutz Altmann	Möbelhäuser	52.5006100	13.3285000	Meinekestraße	11	10719	Charlottenburg - Wilmersdorf	teilweise	8548	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/8548/
Damen- und Herrenschneiderei Kaya, Ihre Boutique	Schneiderei	52.4180500	13.4370900	Buckower Damm	290	12349	Neukölln	ja	55456	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/55456/
Dr. med.  Wolfgang  Möller	Neurologie	52.5301600	13.4617900	Oderbruchstraße	10	10369	Lichtenberg	teilweise	13899	http://www.mobidat.net/oertlichkeiten/orte-suchen/details/13899/
