"Name","Type","NameNiederlassung","Street","Postcode","City","State","Wheelchair"
"Berliner Bank","amenity=bank","Berlin-HermannQuartier BB","Hermannstraße 158a","12051","Berlin","Berlin","yes"
"Berliner Bank","amenity=bank","Berlin-Wilmersdorfer Straße BB","Wilmersdorfer Straße 138-140","10585","Berlin","Berlin","yes"
"Berliner Bank","amenity=bank","Berlin-Kottbusser Tor BB","Skalitzer Straße 137","10999","Berlin","Berlin","no"
"Berliner Bank","amenity=bank","Berlin-Rathaus Neukölln BB","Karl-Marx-Straße 91","12043","Berlin","Berlin","yes"
"Berliner Bank","amenity=bank","Berlin-Kurfürstendamm BB","Kurfürstendamm 62","10707","Berlin","Berlin","no"
"Berliner Bank","amenity=bank","Berlin-Mehringdamm BB","Mehringdamm 32-34","10961","Berlin","Berlin","no"
"Berliner Bank","amenity=bank","Berlin-Alt-Moabit BB","Alt-Moabit 98","10559","Berlin","Berlin","no"
"Berliner Bank","amenity=bank","Berlin-Siemensstadt BB","Nonnendammallee 95-96","13629","Berlin","Berlin","yes"
"Berliner Bank","amenity=bank","Berlin-Lichtenrade BB","Bahnhofstraße 47","12305","Berlin","Berlin","no"
"Berliner Bank","amenity=bank","Berlin-Gropiuspassagen BB","Johannisthaler Chaussee 295","12351","Berlin","Berlin","yes"
"Berliner Bank","amenity=bank","Berlin-Schmargendorf BB","Breite Straße 26","14199","Berlin","Berlin","no"
"Berliner Bank","amenity=bank","Berlin-Frohnau BB","Zeltinger Platz 9","13465","Berlin","Berlin","no"
"Berliner Bank","amenity=bank","Berlin-Kurt-Schumacher-Platz BB","Scharnweberstraße 138","13405","Berlin","Berlin","no"
"Berliner Bank","amenity=bank","Berlin-Tegel BB","Gorkistraße 11","13507","Berlin","Berlin","no"
"Berliner Bank","amenity=bank","Berlin-Wittenau BB","Oranienburger Straße 88","13437","Berlin","Berlin","no"
"Berliner Bank","amenity=bank","Berlin-Innsbrucker Platz BB","Wexstraße 1","10825","Berlin","Berlin","no"
"Berliner Bank","amenity=bank","Berlin-Kaiser-Wilhelm-Platz BB","Kaiser-Wilhelm-Platz 3","10827","Berlin","Berlin","yes"
"Berliner Bank","amenity=bank","Berlin-Spandau BB","Carl-Schurz-Straße 46","13597","Berlin","Berlin","yes"
"Berliner Bank","amenity=bank","Berlin-Steglitz BB","Schloßstraße 114","12163","Berlin","Berlin","no"
"Berliner Bank","amenity=bank","Berlin-Drakestraße BB","Drakestraße 48a","12205","Berlin","Berlin","yes"
"Berliner Bank","amenity=bank","Berlin-Westphalweg BB","Mariendorfer Damm 69","12109","Berlin","Berlin","no"
"Berliner Bank","amenity=bank","Berlin-Wedding BB","Müllerstraße 32","13353","Berlin","Berlin","yes"
"Berliner Bank","amenity=bank","Berlin-Prinzenallee BB","Prinzenallee 89-90","13357","Berlin","Berlin","no"
"Berliner Bank","amenity=bank","Berlin-Wilmersdorf BB","Uhlandstraße 97","10715","Berlin","Berlin","yes"
"Berliner Bank","amenity=bank","Berlin-Zehlendorf BB","Teltower Damm 29","14169","Berlin","Berlin","yes"
"Berliner Bank","amenity=bank","Berlin-Westend BB","Reichsstraße 94","14052","Berlin","Berlin","yes"
"Berliner Bank","amenity=bank","Berlin-Falkenhagener Feld BB","Am Kiesteich 63","13589","Berlin","Berlin","yes"
"Berliner Bank","amenity=bank","Berlin-Lankwitz BB","Kaiser-Wilhelm-Straße 72","12247","Berlin","Berlin","no"
"Berliner Bank","amenity=bank","Berlin-Alt-Rudow BB","Alt-Rudow 13","12357","Berlin","Berlin","yes"
"Berliner Bank","amenity=bank","Berlin-City BB","Hardenbergstraße 32","10623","Berlin","Berlin","yes"
"Berliner Bank","amenity=bank","Berlin-Mitte BB","Friedrichstraße 185-190","10117","Berlin","Berlin","no"
"Berliner Bank","amenity=bank","Berlin-Friedrichshain BB","Frankfurter Allee 106","10247","Berlin","Berlin","no"
"Berliner Bank","amenity=bank","Berlin-Hellersdorf BB","Alice-Salomon-Platz 2-3","12627","Berlin","Berlin","no"
"Berliner Bank","amenity=bank","Berlin-Prenzlauer Berg BB","Schönhauser Allee 144","10435","Berlin","Berlin","no"
"Berliner Bank","amenity=bank","Berlin-Köpenick BB","Bahnhofstraße 43","12555","Berlin","Berlin","yes"
"Berliner Bank","amenity=bank","Berlin-Pankow BB","Breite Straße 33-34","13187","Berlin","Berlin","no"
"Berliner Bank","amenity=bank","Potsdam BB","Brandenburger Straße 48","14467","Potsdam","Brandenburg","no"
"Berliner Bank","amenity=atm","Berlin-Brunnenstraße BB","Brunnenstraße 79",13355,"Berlin","Berlin","no"
