REFERENCE;ETABLISSEMENT;RESEAU;ACTIVIT;CONTACT;EMAILCONTACT;SITEWEB;TELEPHONE;FAX;HANDICAPS;CODEPOSTAL;ADRESSE;REGION;DEPARTEMENT;VILLE
2014-00081;Gite du Guernonval;Tourisme et Handicap;Meublé de tourisme;Mme Vampeperstraete;opvpp@orange.fr;http://;328656129;328629812;"auditif ; mental ; moteur ; visuel";59470;31 rue de Pitgam;Nord-Pas de Calais Picardie;NORD;ESQUELBECQ
2014-00082;Chambres d'hôtes - Gites du Gland;Tourisme et Handicap;Chambre d'hôtes;Mme Brocart;gite.embrocart@wanadoo.fr;http://www.gite-bouvines.fr;320413274;;"auditif ; moteur";59630;605 rue du Maréchal Foch;Nord-Pas de Calais Picardie;NORD;BOUVINES
2014-00083;Hôtel Restaurant Casino Barrière;Tourisme et Handicap;Hôtel-restaurant;Mme Legras;reservationlille@lucienbarriere.com;http://www.lucienbarriere.com;328144500;328144599;"auditif ; mental ; moteur ; visuel";59777;777 bis Pont de Flandre;Nord-Pas de Calais Picardie;NORD;LILLE
2014-00084;Gite Prune - La Ferme d'Antéline;Tourisme et Handicap;Meublé de tourisme;M.Duhamel;contact@la-ferme-d-anteline.fr;http://www.la-ferme-d-anteline.fr;678898414;;"auditif ; visuel";59253;11 rue de Bethléem;Nord-Pas de Calais Picardie;NORD;GORGUE (LA)
2014-00085;Gite Pomme - La Ferme d'Antéline;Tourisme et Handicap;Meublé de tourisme;M.Duhamel;contact@la-ferme-d-anteline.fr;http://www.la-ferme-d-anteline.fr;678898414;;"auditif ; moteur ; visuel";59253;11 rue Bethleem;Nord-Pas de Calais Picardie;NORD;GORGUE (LA)
2014-00086;Gites du Coq de Paille - Gite 1302;Tourisme et Handicap;Meublé de tourisme;M.Wicart;f.wicart@wanadoo.fr;http://;328494105;;"auditif ; mental";59270;2465 route du Mont des Cats;Nord-Pas de Calais Picardie;NORD;FLETRE
2014-00087;Gite de groupe L'Adresse de la Ferme du Roy;Tourisme et Handicap;Meublé de tourisme;M.Coubriche;contact@fermeduroy.com;http://www.ladresse.fermeduroy.com;344084376;344084376;"auditif ; mental ; moteur";60540;4 Grande Rue;Nord-Pas de Calais Picardie;OISE;ANSERVILLE
2014-00088;Restaurant Maison M;Tourisme et Handicap;Restaurant;Mme Corbrion-Mouret;contact@maison-m.fr;http://www.maison-m.fr;950832996;;"auditif ; mental ; moteur ; visuel";60800;45 rue Nationale;Nord-Pas de Calais Picardie;OISE;CRÉPY EN VALOIS
2014-00089;Chambre d'hôtes Hugues Desfriesches - L'Aunay;Tourisme et Handicap;Chambre d'hôtes;M.Desfrieches;cmette61@laposte.net;http://;233263986;;"auditif ; mental ; moteur ; visuel";61320;;Normandie;ORNE;SAINTE-MARGUERITE-DE-CARROUGES
2014-00090;Gite de groupe L'Alouette des Champs;Tourisme et Handicap;Meublé de tourisme;M.Hulo;gitelalouettedeschamps@gmail.com;http://www.gitelalouettedeschamps.com;321395031;;"auditif ; mental ; moteur ; visuel";62560;19 rue de Duhem;Nord-Pas de Calais Picardie;PAS-DE-CALAIS;RECLINGHEM
