venueid;venuename;address;state;zip;lat;long;wheelchair_accessibility
4aa1e413f964a520b04120e3;Vietnam House;710 W Las Tunas Dr;CA;91776;341.018.344;-1.181.106.362;Yes
4ab01da0f964a520f86520e3;Abitino's Pizzeria;1435 Broadway;NY;10018;4.075.457.513;-7.398.681.656;Yes
4ae46575f964a5204d9a21e3;Family Table Restaurant;817 S Mechanic St;IA;52101;4.329.577.865;-9.179.124.396;Yes
4ae50f01f964a5202aa021e3;Applebee's;290 W University Pkwy;UT;84058;4.027.413.153;-1.117.022.998;Yes
4af88910f964a520170e22e3;99 Bottles;35002 Pacific Hwy S;WA;98003;4.728.831.207;-122.317.915;Yes
4af9eae3f964a520401522e3;Mangiare;301 A Executive Park Blvd;CA;94124;3.771.134.226;-1.223.925.823;Yes
4b23f513f964a520cc5d24e3;Great Outdoors Restaurant;65 N Main St;FL;32643;29.826.706;-825.968.491;Yes
4b26fbbef964a520b98324e3;Thai Original BBQ;2221 Gellert Blvd;CA;94080;376.492.079;-1.224.532.784;Yes
4b4d6f9ef964a5205bd226e3;Aliberto's Mexican Food;7819 El Cajon Blvd;CA;91942;32.768.337;-1.170.293.874;Yes
4b5b8c89f964a520430629e3;Babe's Chicken Dinner House;104 N Oak St;TX;76262;32.998.943;-97.228.924;Yes
4b819284f964a520deaf30e3;Fuddruckers;275 Rte. 10;NJ;7876;4.087.134.673;-7.464.615.198;Yes
4b85e839f964a520dc7831e3;My Tobacconist;9869 E Fern St;FL;33157;2.560.595.809;-8.034.996.203;Yes
4bb289c42397b713882b37b3;Jerry's Post Road Market;1000 Boston Post Rd;NY;10580;4.097.872.635;-7.368.465.863;Yes
4bcda1c4511f95212ddbb4c7;Millbury Federal Credit Union;50 Main St;MA;1527;4.219.323.644;-7.176.104.043;Yes
4bcf9d38b221c9b69274d2d0;Surfin' Chicken;71 Via Pico Plz;CA;92672;3.343.624.005;-1.176.207.731;Yes
4bdde593587b2d7f66855509;Domino's Pizza;1756 Kuntz Avenue;HI;96818;2.133.734.133;-1.579.391.269;Yes
4beee06d2c082d7fe8073142;La Pupusa Loca #1;5910 Bergenline Ave;NJ;7093;4.078.855;-7.401.665.845;Yes
4c2fd95b452620a1fe4d1e0f;Pizza Hut;501 S Main Ave;TX;79756;3.159.038.704;-1.028.919.093;Yes
4c6c06c865eda0932db74ad0;Rainbow Donuts;11825 South St;CA;90703;3.385.885.431;-1.180.811.328;Yes
4cec43213b03f04d4fae2ddc;Julian Pie Company;21976 Hwy 79;CA;92070;33.109.766;-1.166.745.514;Yes
4cf8072ddc40a35d10985054;U.S. Bank ATM;4590 Peoria St;CO;80239;3.977.925.394;-1.048.464.511;Yes
4d10f5c038bb6ea8969bc7aa;Far Rockaway, NY;\\N;NY;11691;4.060.538.399;-7.375.521.183;Yes
4e04a6f9cc3fa8142b5c1e66;Kontos Cellars;10 N 2nd Ave;WA;99362;4.606.708.236;-1.183.393.836;Yes
4e60236e62e13e3bcda4763e;Pat's Hubba Hubba;820 Cove Rd;CT;6902;41.049.127;-7.351.034;Yes
4ed95db8775bcc53f94d18a8;Taco Bell;29080 US Highway 119;KY;41503;37.666.489;-82.275.215;Yes
4f35cb88e4b0179e5bd397e2;PBR Baltimore;2 Market Pl;MD;21202;3.928.962.497;-7.660.677.182;Yes
4fae92d9e4b07f15ced5e331;Pi Pizzeria at MX;610 Washington Ave;MO;63101;3.863.003.031;-9.018.955.708;Yes
510310953d7cd327e458ba91;Wendy's;6970 Ridge Rd;OH;44129;4.137.595.801;-8.173.527.595;Yes
5222661b11d2a667225fbe40;McDonalds;2701 Ridge Point Dr;MO;63049;3.846.324.886;-905.243.862;Yes
52aa48c7498e3872b0113af3;3 Daughters Brewery;222 22nd St S;FL;33712;2.776.905.736;-8.266.262.993;Yes
536c68d7498e5726c2a56934;denny's pacific beach;800 GARNET AVE., PACIFIC BEACH;\\N;\\N;3.246.507.263;-1.170.101.852;Yes
540601ee498ed2702c0514eb;Graffiti Junktion USF;11401 N 56th St;FL;33617;2.805.201.825;-8.239.324.558;Yes
54a9445e498e6c1a0a87767a;The Alibi Bar & Grill;1394 E. Riverside dr;MI;48846;4.297.237.306;-8.504.651.233;Yes
54fa332a498e63b4255279b9;Paddy's Irish Pub;953 S Main St;OH;45458;3.961.180.735;-8.416.201.232;Yes
555132ee498ed805528c75fb;PJ's grill;\\N;CA;90746;3.385.860.863;-1.182.643.424;Yes
56089d42498e98c35244f778;Starbucks;21620 E. Cliff Drive;CA;95062;36.962.555;-12.198.852;Yes
42b9fb80f964a5209a251fe3;Jaleo;2250 Crystal Dr Ste A;VA;22202;3.885.346.601;-7.704.962.991;Yes
4842f40cf964a52041501fe3;EastBurn;1800 E Burnside St;OR;97214;4.552.269.104;-1.226.473.117;Yes
49b6cffff964a52011531fe3;La Maison du Chocolat;63 Wall St Frnt 4;NY;10005;4.070.597.168;-7.400.848.592;Yes
4a56995df964a52081b51fe3;BEN TRE Vietnamese Homestyle Cuisine;398 Grand Ave;CA;94080;3.765.581.039;-1.224.122.885;Yes
4b204910f964a520083024e3;Last Call;3988 18th St;CA;94114;3.776.108.464;-1.224.324.991;Yes
4b529f1ef964a5202d8427e3;Rab's Country Lanes;1600 Hylan Blvd;NY;10305;405.891.025;-740.890.536;Yes
4b6f3394f964a520ede32ce3;Church's Chicken;4200 San Jancinto;TX;77004;297.332.657;-9.538.130.522;Yes
4ba10d69f964a520db9237e3;Beijing Wok;1324 2nd Ave;NY;10021;4.076.735.392;-7.395.942.221;Yes
4bae9dc4f964a52024c73be3;Kelly's Tavern;1926-1984 Coliseum Dr;VA;23666;3.704.087.993;-7.638.750.981;Yes
4be24e15f07b0f47ab4df543;The Pink Mango;6540 Foothill Blvd;CA;91042;3.424.565.232;-1.182.753.325;Yes
4bfefe3ec30a2d7fd256101d;Capri Pizza and Sub Shop;337 Hospital Dr;MD;21061;3.914.109.528;-7.662.929.189;Yes
4c0ad2b96071a5930f4ce032;U.S. Post Office;4450 Oak Park Ln;TX;76109;327.105.216;-9.738.838.732;Yes
4c2e251d260bc928a02e1bd3;Community National Bank & Trust;312 W 1st St;IA;50613;4.253.739.796;-9.244.857.788;Yes
4c36621bdfb0e21e9601aba8;Joe's Crab Shack;33879 Van Dyke Ave;MI;48312;4.254.245.893;-8.302.911.748;Yes
4c3757c2dfb0e21ee893aca8;Santander Bank;200 Haverhill St;MA;1844;4.270.627.106;-7.120.167.868;Yes
4ce17ddddf986ea8b6e8ec16;Jim's Lunch;105 E Main St;NJ;8332;3.939.521.384;-750.380.373;Yes
4e6094671850e238d67a2264;MTA MaBSTOA Bus at W. 96th & 97th Sts. & Central Park West (8th Ave): (M10, M96, M106);96th Street;NY;10025;4.079.199.536;-7.396.445.632;Yes
4f32f529e4b0dd592a2f3c88;Mo Dailey's Pub and Grille;6070 N Northwest Hwy;IL;60631;4.199.141.797;-8.779.809.313;Yes
50dca6a0e4b02de15cff101b;The Similans Thai Eatery;13005 Lee Jackson Memorial Hwy Ste L;VA;22033;38.879.066;-7.739.639;Yes
513a4dffe4b0d7ec16e9273c;House Of Gyros;1130 Fremont Blvd Ste 102A;CA;93955;3.660.058.263;-1.218.493.642;Yes
51d339f9498ea91177d7c880;Local 616;616 Meeting St;SC;29403;328.044.486;-7.994.521.482;Yes
52876e3711d2bcbf5f219948;Starbucks;Terminal E Satellite;TX;76051;3.288.778.863;-9.703.445.702;Yes
5296582411d251a714aba7fe;Destiny Coffee and Tea;605 Kearny St;CA;94111;3.779.380.526;-1.224.044.311;Yes
52ae4544498e621eb0c7e1f8;Kosar's Wood-Fire Grill;Hard Rock Rocksino Northfield Park;OH;44067;4.134.878.275;-8.152.463.034;Yes
52d1fc0b498ede513bb71ede;Denny's;150 Nassau St;NY;10038;407.114.819;-74.005.956;Yes
53b9dcb8498e7253b49a955c;political dogs;PO Box 894;VA;24340;3.679.082.713;-8.177.067.429;Yes
548b8ed9498e00314e2d72af;3 Little Pigs;124 W Venice Ave;FL;34285;2.710.005.727;-8.244.495.927;Yes
54b2a654498eb40bc9f0e2cf;Bob Evans Restaurant;4516 Royalton Rd;OH;44141;4.131.433.971;-8.165.408.162;Yes
54e2ad46498ec569ea3cb416;Belle Reve;305 Church St;NY;10013;4.071.955.932;-7.400.438.293;Yes
5505cd33498e5ec9cacc1834;NYC Meatballs and Pizza;1075 Oakleaf Plantation Pkwy Ste 104;FL;32065;3.016.143.731;-8.183.695.417;Yes
56043608498eef0c0e9810f6;Pacific Catch;5251 Martinelli Way;CA;94568;3.770.520.839;-1.218.910.722;Yes
56261edb498ee18f42d09504;Original Apple Pizza;1650 Hulmeville Rd;PA;19020;4.007.572.351;-7.495.881.557;Yes
5707f350498ec70873e4f667;The Food Park in Downtown Abilene;1089 S 1st St;TX;79602;3.244.820.971;-9.973.495.707;Yes
40e0b100f964a520b5091fe3;Lil' Red's Longhorn Saloon;121 W Exchange Ave;TX;76164;3.278.884.573;-973.500.074;Yes
49e262daf964a52012621fe3;Starbucks;100 W Portal Ave;CA;94127;37.739.684;-122.467.323;Yes
4af12b51f964a520d0e021e3;Ken's Asian Taste;40 Bowery;NY;10002;40.715.453;-7.399.656.525;Yes
4b193df1f964a520d1d923e3;Wingstop;14925 Shady Grove Rd;MD;20850;3.909.689.383;-7.719.232.077;Yes
4b3d6811f964a520b69325e3;Columbia Harbour House;Liberty Square, Magic Kingdom;FL;32830;2.841.994.694;-8.158.252.132;Yes
4b438497f964a5203be225e3;The Abbey Coffee, Art & Music Lounge;350 Mission St;CA;95060;3.697.687.166;-1.220.325.936;Yes
4b449b6bf964a520a4f725e3;Starbucks;5166 Lankershim Blvd Ste A;CA;91601;34.164.768;-118.374.289;Yes
4b4febccf964a5208d1927e3;The Vagabond;614 W Douglas Ave;KS;67203;3.768.415.996;-9.734.754.145;Yes
4b572983f964a520e92828e3;McDonald's;6400 Macedonia Commons Blvd;OH;44056;4.130.595.414;-8.151.792.437;Yes
4b5c5558f964a5205b2b29e3;Molcajetes Mexican Grill;1504 W Stone Dr;TN;37660;365.580.429;-8.257.748.933;Yes
4bc11d88920eb713ae481a2c;TGI Fridays;1209 Niagara Falls Blvd;NY;14226;4.298.727.992;-7.882.096.229;Yes
4bfd4cb9bf6576b0510aadb8;DJ's Bagel Cafe;13693 N Fountain Hills Blvd;AZ;85268;3.360.936.549;-1.117.293.128;Yes
4c003d8bc30a2d7f6243121d;Bridgehampton, NY;;NY;11932;409.376.369;-7.230.033.875;Yes
4c0d263c7189c928448dd6b6;St. Joseph Catholic Church;;MS;39503;3.046.499.452;-8.909.435.402;Yes
4cae7586b4b0a35d848739ce;Felipe's Mexican Restaurant;1408 E Tyler St;TX;75751;322.111.446;-9.582.952.465;Yes
4e6aa42fa8092902681b5e5c;SUBWAY;639 Roosevelt Trl;ME;4055;4.396.998.424;-7.059.269.696;Yes
50817642e4b0ee1f0e380ccd;Cornerstone Pub And Kitchen;47 N Main St;VT;5641;441.974.715;-7.250.129.534;Yes
50b8eb8ae4b0ecc0aeac21f5;Charlie's Sub shop;642 N Walnut Ave;TN;38501;36.159.419;-8.551.178;Yes
518055a0e4b01a525b151906;Don Tequila Mexican Restaurant;73 Allen St;NY;14202;4.289.942.574;-7.887.292.237;Yes
51b7ac5c498e61d9640bff34;Miami Mediterranean Cuisine;209 11th St;FL;33139;2.578.178.753;-8.013.183.172;Yes
531a649b498e03cedc8490fd;Nat's;\\N;CA;92618;33.657.923;-117.767.509;Yes
536fe442498e193806dedd8f;Cafe Grumpy;89 E 42nd St;NY;10174;4.075.196.884;-7.397.541.276;Yes
54c52c73498efcff06ffdbb4;Dunkin Donuts;1633 S Higley Rd Ste 133;AZ;85295;3.332.090.374;-1.117.205.961;Yes
5637d88c498eb65f58b68317;La Fisheria;213 Milam St;TX;77002;2.976.357.308;-9.536.218.118;Yes
4310fe80f964a52051271fe3;Starbucks;675 Portola Dr;CA;94127;3.774.469.892;-1.224.527.255;Yes
