FID,OBJECTID,SHAPE,BEZIRK,STRASSE,ONR,TELEFON,OEFFNUNGSZEIT,INFORMATION,ABTEILUNG,KATEGORIE,SE_ANNO_CAD_DATA
WCANLAGEOGD.288137,288137,POINT (16.349716564962275 48.1807602023042),5,Eichenstr. / Fendig. (Abgang zur Straßenbahn),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288138,288138,POINT (16.388175521852077 48.15655649334741),10,Volkspark Laaerberg (nähe Freilufttheater),,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288139,288139,POINT (16.358497345751864 48.222873927380846),9,Liechtensteinpark,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288140,288140,POINT (16.33841335993129 48.177634927961975),12,Aßmayergasse / Karl-Löwe-Gasse,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.288141,288141,POINT (16.386613648728474 48.172678636152554),10,Puchsbaumplatz ggü 10,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.288142,288142,POINT (16.228414012014564 48.20726926258126),14,Hauptstraße/bei der Kirche Mariabrunn,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
WCANLAGEOGD.288143,288143,POINT (16.294749096772 48.21519941396266),16,Funkengerngasse/Gallitzinstr.,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.288144,288144,POINT (16.314740021531833 48.1881922991922),15,Auer Welsbach Park,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,Pissoir,
WCANLAGEOGD.288145,288145,POINT (16.33324211490534 48.21378060781668),16,Huberpark,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage mit Behindertenkabine und ohne Wartepersonal,
WCANLAGEOGD.288146,288146,POINT (16.388742856210655 48.21381243645907),2,Robertstiege (Stiegenanlage unten beim Donaukanal,,+43 (1) 546 48,Mo-So: 0-24 Uhr,http://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/index.html,M48,WC-Anlage ohne Wartepersonal,
