Name;lat;lon;Straße;Hausnummer;PLZ;Stadt;Land;Telefon;Rollstuhlgerecht (ja/nein/teilweise)?;Rollstuhl-Toilette (ja/nein)?;Info zur Rollstuhlgerechtigkeit
Wall City-Toilette;13,412954;52,521463;Alexanderplatz;1;10178;Berlin;DE;+49 800 092 55 24;ja;ja;"Öffnungszeiten:
wochentags 9.00-22.00 Uhr, 
samstags 9.00-22.00 Uhr, 
sonn- und feiertags 10.00-22.00 UhrÖffnungszeiten:
wochentags 9.00-22.00 Uhr, 
samstags 9.00-22.00 Uhr, 
sonn- und feiertags 10.00-22.00 UhrÖffnungszeiten:
wochentags 9.00-22.00 Uhr, 
samstags 9.00-22.00 Uhr, 
sonn- und feiertags 10.00-22.00 UhrÖffnungszeiten:
wochentags 9.00-22.00 Uhr, 
samstags 9.00-22.00 Uhr, 
sonn- und feiertags 10.00-22.00 UhrÖffnungszeiten:
wochentags 9.00-22.00 Uhr, 
samstags 9.00-22.00 Uhr, 
sonn- und feiertags 10.00-22.00 UhrÖffnungszeiten:
wochentags 9.00-22.00 Uhr, 
samstags 9.00-22.00 Uhr, 
sonn- und feiertags 10.00-22.00 UhrÖffnungszeiten:
wochentags 9.00-22.00 Uhr, 
samstags 9.00-22.00 Uhr, 
sonn- und feiertags 10.00-22.00 UhrÖffnungszeiten:
wochentags 9.00-22.00 Uhr, 
samstags 9.00-22.00 Uhr, 
sonn- und feiertags 10.00-22.00 UhrÖffnungszeiten:
wochentags 9.00-22.00 Uhr, 
samstags 9.00-22.00 Uhr, 
sonn- und feiertags 10.00-22.00 UhrÖffnungszeiten:
wochentags 9.00-22.00 Uhr, 
samstags 9.00-22.00 Uhr, 
sonn- und feiertags 10.00-22.00 UhrÖffnungszeiten:
wochentags 9.00-22.00 Uhr, 
samstags 9.00-22.00 Uhr, 
sonn- und feiertags 10.00-22.00 UhrÖffnungszeiten:
wochentags 9.00-22.00 Uhr, 
samstags 9.00-22.00 Uhr, 
sonn- und feiertags 10.00-22.00 Uhr"
Wall City-Toilette;13,6245833333;52,4506666667;Bölschestr.;113;12587;Berlin;DE;+49 800 092 55 24;ja;ja;Öffnungszeiten täglich 7.00-19.00 Uhr
Wall City-Toilette;13,3361111111;52,5049444444;Breitscheidplatz;;10789;Berlin;DE;+49 800 092 55 24;ja;ja;"Öffnungszeiten:
wochentags 9.00-22.00 Uhr, 
samstags 9.00-22.00 Uhr, 
sonn- und feiertags 10.00-22.00 UhrÖffnungszeiten:
wochentags 9.00-22.00 Uhr, 
samstags 9.00-22.00 Uhr, 
sonn- und feiertags 10.00-22.00 UhrÖffnungszeiten:
wochentags 9.00-22.00 Uhr, 
samstags 9.00-22.00 Uhr, 
sonn- und feiertags 10.00-22.00 UhrÖffnungszeiten:
wochentags 9.00-22.00 Uhr, 
samstags 9.00-22.00 Uhr, 
sonn- und feiertags 10.00-22.00 UhrÖffnungszeiten:
wochentags 9.00-22.00 Uhr, 
samstags 9.00-22.00 Uhr, 
sonn- und feiertags 10.00-22.00 UhrÖffnungszeiten:
wochentags 9.00-22.00 Uhr, 
samstags 9.00-22.00 Uhr, 
sonn- und feiertags 10.00-22.00 UhrÖffnungszeiten:
wochentags 9.00-22.00 Uhr, 
samstags 9.00-22.00 Uhr, 
sonn- und feiertags 10.00-22.00 UhrÖffnungszeiten:
wochentags 9.00-22.00 Uhr, 
samstags 9.00-22.00 Uhr, 
sonn- und feiertags 10.00-22.00 UhrÖffnungszeiten:
wochentags 9.00-22.00 Uhr, 
samstags 9.00-22.00 Uhr, 
sonn- und feiertags 10.00-22.00 UhrÖffnungszeiten:
wochentags 9.00-22.00 Uhr, 
samstags 9.00-22.00 Uhr, 
sonn- und feiertags 10.00-22.00 UhrÖffnungszeiten:
wochentags 9.00-22.00 Uhr, 
samstags 9.00-22.00 Uhr, 
sonn- und feiertags 10.00-22.00 UhrÖffnungszeiten:
wochentags 9.00-22.00 Uhr, 
samstags 9.00-22.00 Uhr, 
sonn- und feiertags 10.00-22.00 Uhr"
Wall City-Toilette;13,2382777778;52,5444722222;Haselhorster Damm;23;13599;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,1631666667;52,52125;Magistratsweg;;13593;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,3043888889;52,5255277778;Mierendorffplatz;;10589;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,2054861111;52,5376388889;Mönchstr.;8;13597;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,310916;52,493104;Preußenpark , Brandenburgische Str.;;10707;Berlin;DE;+49 800 092 55 24;ja;ja;24h geöffnet
Wall City-Toilette;13,4064166667;52,5184722222;Rathausstr.;;10178;Berlin;DE;+49 800 092 55 24;ja;ja;"Öffnungszeiten:
wochentags 9.00-20.00 Uhr, 
samstags 10.00-20.00 Uhr, 
sonn- und feiertags 10.00-20.00 UhrÖffnungszeiten:
wochentags 9.00-20.00 Uhr, 
samstags 10.00-20.00 Uhr, 
sonn- und feiertags 10.00-20.00 UhrÖffnungszeiten:
wochentags 9.00-20.00 Uhr, 
samstags 10.00-20.00 Uhr, 
sonn- und feiertags 10.00-20.00 UhrÖffnungszeiten:
wochentags 9.00-20.00 Uhr, 
samstags 10.00-20.00 Uhr, 
sonn- und feiertags 10.00-20.00 UhrÖffnungszeiten:
wochentags 9.00-20.00 Uhr, 
samstags 10.00-20.00 Uhr, 
sonn- und feiertags 10.00-20.00 UhrÖffnungszeiten:
wochentags 9.00-20.00 Uhr, 
samstags 10.00-20.00 Uhr, 
sonn- und feiertags 10.00-20.00 UhrÖffnungszeiten:
wochentags 9.00-20.00 Uhr, 
samstags 10.00-20.00 Uhr, 
sonn- und feiertags 10.00-20.00 UhrÖffnungszeiten:
wochentags 9.00-20.00 Uhr, 
samstags 10.00-20.00 Uhr, 
sonn- und feiertags 10.00-20.00 UhrÖffnungszeiten:
wochentags 9.00-20.00 Uhr, 
samstags 10.00-20.00 Uhr, 
sonn- und feiertags 10.00-20.00 UhrÖffnungszeiten:
wochentags 9.00-20.00 Uhr, 
samstags 10.00-20.00 Uhr, 
sonn- und feiertags 10.00-20.00 UhrÖffnungszeiten:
wochentags 9.00-20.00 Uhr, 
samstags 10.00-20.00 Uhr, 
sonn- und feiertags 10.00-20.00 UhrÖffnungszeiten:
wochentags 9.00-20.00 Uhr, 
samstags 10.00-20.00 Uhr, 
sonn- und feiertags 10.00-20.00 Uhr"
Wall City-Toilette;13,2050277778;52,5368611111;Spandauer Markt , Markt;5;13597;Berlin;DE;+49 800 092 55 24;ja;ja;"Öffnungszeiten:
wochentags 7.00-21.00 Uhr, 
samstags 7.00-19.00 Uhr, 
sonn- und feiertags 10.00-18.00 UhrÖffnungszeiten:
wochentags 7.00-21.00 Uhr, 
samstags 7.00-19.00 Uhr, 
sonn- und feiertags 10.00-18.00 UhrÖffnungszeiten:
wochentags 7.00-21.00 Uhr, 
samstags 7.00-19.00 Uhr, 
sonn- und feiertags 10.00-18.00 UhrÖffnungszeiten:
wochentags 7.00-21.00 Uhr, 
samstags 7.00-19.00 Uhr, 
sonn- und feiertags 10.00-18.00 UhrÖffnungszeiten:
wochentags 7.00-21.00 Uhr, 
samstags 7.00-19.00 Uhr, 
sonn- und feiertags 10.00-18.00 UhrÖffnungszeiten:
wochentags 7.00-21.00 Uhr, 
samstags 7.00-19.00 Uhr, 
sonn- und feiertags 10.00-18.00 UhrÖffnungszeiten:
wochentags 7.00-21.00 Uhr, 
samstags 7.00-19.00 Uhr, 
sonn- und feiertags 10.00-18.00 UhrÖffnungszeiten:
wochentags 7.00-21.00 Uhr, 
samstags 7.00-19.00 Uhr, 
sonn- und feiertags 10.00-18.00 UhrÖffnungszeiten:
wochentags 7.00-21.00 Uhr, 
samstags 7.00-19.00 Uhr, 
sonn- und feiertags 10.00-18.00 UhrÖffnungszeiten:
wochentags 7.00-21.00 Uhr, 
samstags 7.00-19.00 Uhr, 
sonn- und feiertags 10.00-18.00 UhrÖffnungszeiten:
wochentags 7.00-21.00 Uhr, 
samstags 7.00-19.00 Uhr, 
sonn- und feiertags 10.00-18.00 UhrÖffnungszeiten:
wochentags 7.00-21.00 Uhr, 
samstags 7.00-19.00 Uhr, 
sonn- und feiertags 10.00-18.00 Uhr"
